path image_quality killed_path_num overlength_path_num backward_path_num backward_hit_num forward_path_num forward_hit_num phase accuracy time
c-box_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 0 0 27485327 17172956 98033799 20709894 128 8.074229654443764 69.84
c-box_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 0 0 21061223 22075405 73895527 44602361 97 9.2683992038377 66.792
c-box2_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 0 0 26887266 26823156 84930641 6413574 109 9.316711492821847 65.537
c-box2_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 0 0 15894144 30673656 49100040 24757980 65 12.263301742657113 62.479
room2_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 0 0 30280424 31795509 93639231 21421736 97 9.409789375076175 61.915000000000006
room2_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 0 0 20173821 40364353 62343799 32200351 63 11.458618000380563 79.86699999999999
light_guides_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 0 0 6656000 12728810 19668863 115176272 33 15.892672200785658 62.103
light_guides_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 0 0 6709248 22402035 13237267 122198009 33 15.770116854883176 100.38
car_interior_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 0 0 15443200 15444677 51596461 25652 65 11.480483439711893 76.126
car_interior_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 1 0 11217600 19111469 38662763 273638 48 13.414286494951016 70.549
interior1_LOW_FREQUENCY_NOISE PTImageQuality.LOW_FREQUENCY_NOISE 181914 0 17702528 19312966 54700055 8062803 33 16.038388342003117 68.259
interior1_HIGH_FREQUENCY_NOISE PTImageQuality.HIGH_FREQUENCY_NOISE 131636 0 8816000 18506557 27519418 12693660 16 22.182643028142966 69.13300000000001
